Date,T_degC
22/7/2003,11.550
13/4/2006,11.560
5/4/2015,11.560
2/4/2019,11.570
10/11/2010,11.580
19/4/2018,11.590
10/2/2012,11.600
2/4/2017,11.610
18/1/2000,11.610
18/10/2008,11.630
22/11/2009,11.630
31/7/2011,11.630
26/10/2006,11.630
16/7/2016,11.640
1/2/2007,11.650
3/11/2004,11.670
9/1/2016,11.670
22/4/2003,11.670
26/1/2010,11.680
12/11/2010,11.680
23/6/2018,11.690
11/2/2012,11.700
16/11/2019,11.710
18/7/2015,11.720
30/3/2004,11.720
18/11/2013,11.730
3/2/2014,11.740
18/7/2019,11.740
27/1/2010,11.760
10/1/2017,11.770
5/11/2015,11.780
16/4/2005,11.810
11/11/2009,11.820
12/4/2006,11.820
21/11/2005,11.820
22/7/2016,11.830
17/1/2016,11.840
8/1/2004,11.840
23/10/2011,11.840
10/4/2017,11.850
17/7/2004,11.870
22/1/2007,11.870
31/10/2003,11.890
28/4/2005,11.890
13/7/2002,11.900
19/2/2006,11.930
4/2/2003,11.930
11/1/2013,11.930
17/11/2009,11.950
23/7/2006,11.950
9/4/2019,11.970
8/11/2016,11.980
29/3/2002,11.990
3/4/2017,12.010
25/7/2012,12.010
20/2/2006,12.020
10/7/2012,12.050
8/2/2006,12.060
22/10/2012,12.060
24/11/2017,12.060
15/4/2019,12.080
4/1/2005,12.090
29/10/2008,12.120
14/8/2010,12.120
6/11/2019,12.140
1/8/2017,12.160
29/1/2010,12.160
12/1/2008,12.160
8/4/2007,12.160
28/1/2010,12.160
26/1/2008,12.190
4/7/2007,12.210
7/11/2005,12.230
17/1/2000,12.230
5/4/2002,12.230
17/7/2015,12.240
6/2/2018,12.290
8/11/2001,12.300
14/11/2005,12.310
10/7/2006,12.350
9/4/2016,12.360
19/11/2016,12.370
2/11/2004,12.370
13/5/2010,12.410
12/2/2003,12.420
5/4/2019,12.450
9/7/2005,12.460
12/7/2013,12.460
7/4/2006,12.470
16/11/2007,12.490
4/11/2007,12.490
4/7/2005,12.500
6/7/2005,12.500
7/7/2005,12.510
4/4/2017,12.520
14/5/2010,12.550
17/11/2002,12.600
18/7/2001,12.600
8/4/2008,12.610
11/4/2003,12.620
8/7/2014,12.650
25/1/2011,12.660
5/7/2005,12.690
23/1/2015,12.700
15/4/2015,12.700
5/4/2019,12.710
19/11/2013,12.720
12/4/2006,12.740
17/6/2018,12.770
22/1/2009,12.780
19/1/2001,12.780
31/1/2007,12.790
21/4/2003,12.790
9/4/2013,12.800
18/1/2008,12.810
16/11/2014,12.820
15/11/2005,12.840
17/11/2004,12.850
6/2/2006,12.870
8/4/2004,12.880
2/2/2002,12.880
5/2/2006,12.890
23/1/2007,12.910
4/2/2014,12.940
7/4/2018,12.940
3/2/2003,12.970
12/2/2012,12.970
25/10/2006,12.980
18/8/2008,13.020
7/11/2015,13.030
26/1/2007,13.030
8/1/2016,13.030
13/1/2005,13.040
4/7/2000,13.080
25/7/2016,13.100
4/2/2006,13.100
4/2/2006,13.100
27/3/2008,13.110
6/11/2005,13.150
14/1/2009,13.150
23/10/2008,13.160
23/4/2008,13.180
8/1/2005,13.180
20/4/2018,13.200
25/10/2000,13.200
6/4/2019,13.200
16/7/2015,13.200
5/4/2014,13.210
2/2/2003,13.220
23/8/2008,13.230
7/7/2014,13.230
14/1/2005,13.240
7/4/2016,13.260
31/10/2003,13.280
14/3/2009,13.280
21/7/2003,13.300
16/4/2019,13.310
21/1/2000,13.380
24/7/2006,13.400
17/11/2019,13.410
6/4/2006,13.430
15/10/2018,13.430
